monsterName,HP,DV,EXP,FL,DAMAGE,ACC,isMagic,isPoison,PoisonDamage
Rat,10,5,10,1,1d4,5+1d10,0,0,
Spider,11,6,12,1,1d6,3+1d10,0,1,3
Shambler,14,7,15,1,1d8,1+2d10,0,0,
Black Adder,10,10,20,2,1d10,8+1d10,0,1,5
Dog,12,9,20,2,1d5,7+1d10,0,0,
Corrupted Spider,15,9,30,2,2d6,2d10,1,1,6
Goblin,25,10,30,3,2d8,5+2d10,0,0,
Slider,20,20,35,3,1d10+1d3,15+1d10,1,0,
Dire Rat,30,15,35,3,1d10+1d4,5+2d10,0,0,
Orc,50,25,50,5,2d10,17+1d10,0,0,
Goblin Savage,30,20,50,5,2d6,3d10,0,0,
Killmonger,35,30,50,5,4d3,4d10,0,0,
Lesser Yokai,40,30,55,5,1d10+1d8,14+3d10,0,0,
Ghost,20,35,40,7,1d5,20+1d10,1,0,
Violent Orc,50,30,50,7,5d5,4d10,0,0,
Goblin Warlock,25,45,30,7,1d10+1d4,2d10+2d6,1,0,
Mummy,50,60,100,10,3d6,20+1d10,0,0,
Wraith,40,65,100,10,2d10,35+2d5,1,0,
Archaic Hunter,50,50,150,10,1d6+1d8+1d4,12+1d8+2d10,0,0,
Spectre,65,67,230,12,3d6+1d3,17+2d10,1,0,
Grey Ooze,100,35,200,12,1d20,14+4d8,0,0,
Yurei,120,75,250,12,3d4+1d3,23+2d10,1,0,
Orc Berserker,500,65,300,15,3d10,5+5d10,0,0,
Darkstalker,150,76,250,15,5d5,10+3d10+1d8,0,0,
Goblin Artificer,100,80,200,15,3d6+1d2,16+3d10,0,0,
Elven Ranger,200,90,500,20,1d10+20,50,0,0,
Lifestealer,150,80,450,20,7d2,20+2d10,1,0,
Yeti,400,75,500,20,1d20+14,45+1d0,0,0,
Hobbit Slingshotter,150,100,480,22,1d8+20,45+1d20,0,0,
Drath,250,85,500,22,7d4,17+2d10+1d12,0,0,
Tengu Ronin,300,120,550,24,2d6+2d8+5,55+1d10,0,0,
Metal Man,500,150,1000,25,4d10,50+2d20,0,0,
Chaos Voidstealer,550,125,900,25,5d5+2d6,10d10,1,0,
Blood Python,350,100,1200,25,1d10,50+5d10,0,1,10
Ashura,670,75,1500,27,5d10,80+1d10,0,0,
Mecha Goblin,267,56,1100,27,3d6+1d5,65+6d6,0,0,
Wallrunner,350,89,2000,30,5d8+10,45+4d10,1,0,
Lesser Demon,400,95,2100,30,4d10,35+6d10,0,0,
Hobbit Sniper,120,167,2200,30,1d10+30,75+1d10,0,1,10
Elven Deathtrancer,600,200,2500,32,6d8,20d6,0,0,
Hoarfrost Yeti,700,150,2700,33,3d10+20,45+6d10,0,0,
Rock Warden,1000,200,3000,35,1d10+50,20+6d20,0,0,
Dwarven Slayer,750,190,2500,35,3d10+5,40+6d8,0,0,
Hyper Wraith,900,180,3000,37,6d6+6,60+3d8,1,0,
Ancient Lensman,250,220,3200,37,2d10+20,65+6d6,0,0,
Rotting Treant,1100,170,3300,39,5d10+10,76+2d8,0,1,20
Mecha Ogre,1200,200,4000,40,9d10,40+6d8,0,0,
Mummy Hierophant,1500,230,5000,40,4d10+5,10+8d10,1,0,
Dark Priest,1000,190,5000,40,7d8,50+3d12,1,0,
High Elf Wizard,500,250,5500,41,60,80+1d10,1,0,
Dwarven Madman,700,100,2500,41,20d4,55d2,0,0,
Ascended Lensman,1000,278,6000,43,6d10+10,20+20d5+2d10,1,0,
Chaos Rat,1200,200,5500,44,1d120,120d3,0,0,
Greater Demon,1500,250,6900,45,5d10+5d12,80+2d10,0,0,
Mecha Strider,2500,268,7000,45,1d8+1d10+3d6+20,65+6d6,0,0,
Sonic Wraith,2700,300,7500,48,9d8+1,75+4d5,1,0,
Crystal Golem,3500,350,8000,48,6d10+20,80+1d20,0,0,
Hyperborean Timestalker,2500,450,10000,49,4d10+5d10,100+1d10,1,0,
Mecha Yeti,3000,375,10000,49,10d10,60+3d8+2d10,0,0,
Omakron,5000,500,15000,50,1d2+1d3+1d4+1d5+1d6+1d10+12d12,12+5d5+6d6+4d10,1,0,
